nos, nostrum/nostri, nobis, nos, nobis	(pron.) we, us
sanguis (sanguen), -inis (m.)	(n.) blood
occurro (obc-), -ere, -curri (or -cucurri), -cursum	(v.) (with dat.) to run to meet; to oppose, resist; to come to mind, occur
talis, -e	(adj.) such, of such a kind, such like, the like
schola, -ae (f.)	(n.) school; followers of a system, teacher, or subject
aeger, -gra, -grum	(adj.) sick, ill, injured; painful; corrupt; sad, sorrowful
accipio (adc-), -ere, -cepi, -ceptum	(v.) to take without effort, receive, get, accept, hear
sermo, -onis (m.)	(n.) continued speech, talk, conversation, discourse
quomodo	(adv.) how, in what way; just as
enim	(conj.) for, for instance, namely, that is to say, I mean, in fact
copia, -ae (f.)	(n.) abundance, ample supply, plenty; (in plural) troops, forces
haud or haut	(adv.) not, not at all, by no means
ita	(adv.) in this manner, in such a way, so, thus, accordingly, as has been said
ante	(prep./adv.) (with acc.) (of space) before, in front, forwards; (of time) before, previously
huc	(adv.) to this place, hither
hora, -ae (f.)	(n.) hour; time; season
hodie	(adv.) today, nowadays; at the present time
audax, -acis	(adj.) bold; courageous; reckless, rash; presumptuous
albus, -a, -um	(adj.) white, pale, fair, gray; bright, clear; favorable, auspicious
custos, -odis (m.)	(n.) guard, sentry, protector; doorkeeper, watchman
precor, -ari, -atus	(v.) to ask, beg, entreat, pray, request, call upon
condo, -ere, -didi, -ditum	(v.) to put together, found, establish, build, settle
frater, -tris (m.)	(n.) brother
commodus, -a, -um	(adj.) suitable, convenient; timely; favorable, lucky; desirable, agreeable
altum, -i (n.)	(n.) height; high sky; deep sea
misceo, -ere, miscui, mixtum	(v.) to mix, mingle, intermingle, blend
civis, -is (m. or f.)	(n.) citizen
malus, -a, -um	(adj.) bad, not good, evil
mulier, -eris (f.)	(n.) woman
populus, -i (m.)	(n.) people, nation
hinc	(adv.) from this place, hence
animal, -is (n.)	(n.) animal, living thing
Porcius, -i (m.)	(proper n.) a Roman male name (nomen – name of a Roman gens)
area, -ae (f.)	(n.) ground, dry land, open space
demonstro, -are, -avi, -atum	(v.) to point out/at/to, draw attention to; to explain, describe; reveal, mention, refer to; prove, demonstrate
consulo, -ere, -ui, -tum	(v.) to meet and consider, reflect, consult, look out, be mindful
Troianus, -a, -um	(adj.) of Troy, Trojan
aedificium, -i (n.)	(n.) building; structure
libertus, -i (m.)	(n.) freedman, freed person, formerly enslaved man
capio, -ere, cepi, captum	(v.) to take in hand, take hold of, lay hold of, take, seize, grasp
magis	(adv.) more, in a higher degree, more completely
eripio, -ere, -ipui, -eptum	(v.) to tear out, snatch away, pluck, tear, take away
pono, -ere, posui, positum	(v.) to put down, set down, put, place, set, fix, lay, deposit
facies, -ei (f.)	(n.) appearance, form, figure, shape, build
vinculum or vinclum, -i (n.)	(n.) bond, fastening, band, rope, chain, cord, tie
poeta, -ae (m.)	(n.) poet
lacrima (lacruma), -ae (f.)	(n.) tear
vehemens, -entis	(adj.) violent, severe; emphatic, vigorous, lively
inter	(prep.) (with acc.) between, among
saluto, -are, -avi, -atum	(v.) to greet; wish well; visit
