clam	(adv.) secretly; without knowledge of, unknown to
nauta, -ae (m.)	(n.) sailor
quando	(adv./conj.) when, since, because
mitto, -ere, misi, missum	(v.) to send, cause to go, let go, send off, dispatch
gaudium, -i (n.)	(n.) joy, gladness, delight
adversus, adversum	(prep./adv.) (with acc.) opposite to, against; toward, against, before
postquam or post quam	(adv.) after that, after, as soon as, when
trado, -ere, -didi, -ditum	(v.) to give up, hand over, deliver, surrender
arma, -orum (n. pl.)	(n.) implements, outfit, instruments, tools; implements of war, arms, weapons
lapis, -idis (m.)	(n.) stone
cingo, -ere, -xi, -nctum	(v.) to go around, surround, encompass, gird, wreathe, crown
at, ast	(conj.) but (introducing a contrast to what precedes)
genus, -eris (n.)	(n.) race, family, birth, descent, origin, sort, kind
Decius, -i (m.)	(proper n.) a Roman male name (nomen – name of a Roman gens)
aura, -ae (f.)	(n.) air (in motion), a breeze, breath of air, wind, blast
persuadeo, -ere, -suasi, -suasum	(v.) (with dat.) to persuade, convince
stultus, -a, -um	(adj.) foolish, stupid
habito, -are, -avi, -atum	(v.) to inhabit, dwell; to live, stay
paro, -are, -avi, -atum	(v.) to prepare, make ready, furnish, provide; arrange, order, design
multum	(adv.) much, very much, greatly
inimicus, -a, -um	(adj.) unfriendly, hostile, inimical; (as a noun) enemy
cursus, -us (m.)	(n.) running, course, way, march, passage, voyage, journey
sustineo, -ere, -tinui, -tentum	(v.) to hold up, hold upright, uphold, bear up, keep up, support, sustain
flecto, -ere, flexi, flexum	(v.) to bend, bow, curve, turn, turn round
venio, -ire, veni, ventum	(v.) to come
fatum, -i (n.)	(n.) utterance, prophecy, oracle; destiny, fate
ferox, -ocis	(adj.) wild, bold; warlike; cruel; defiant, arrogant
inquam (defective verb, inquis, inquit, inquimus, inquiunt)	(v.) to say
pendeo, -ere, pependi	(v.) to hang, hang down, be suspended
nullus, -a, -um	(adj.) not any, none, no
idem, eadem, idem	(pron./adj.) the same
circum	(prep.) (with acc.) around, about, all around
vultus (voltus), -us (m.)	(n.) countenance, features, expression, aspect; face
iuvo, -are, iuvi, iutum	(v.) to help, aid, assist, further, serve, support, benefit, delight, please
peto, -ere, -ivi (or -ii), -itum	(v.) to strive for, seek, aim at, make for, travel to, ask for
celo, -are, -avi, -atum	(v.) to hide something from one, keep secret, conceal
rex, regis (m.)	(n.) ruler, king
cogo, -ere, coegi, coactum	(v.) to drive together, bring together, convene, compel, force
conspicio, -ere, -spexi, -spectum	(v.) to look at (closely), contemplate, perceive, observe
digitus, -i (m.)	(n.) finger; toe; finger’s breadth
iterum	(adv.) again, a second time, once more, anew
tempestas, -atis (f.)	(n.) storm; period of time, season, weather
virtus, -utis (f.)	(n.) manliness, manhood, strength, vigor, bravery, courage, excellence
hiems, -emis (m.)	(n.) winter; cold, frost; storm, stormy weather
Cornelia, -ae (f.)	(proper n.) a Roman female name (nomen – name of a Roman gens)
certus, -a, -um	(adj.) determined, resolved, fixed, settled, purposed, certain
ibi	(adv.) in that place, there; on the spot, then, thereupon
alius, -a, -ud	(adj.) another, other, different; one...the other (alius...alius), some...others (alii...alii)
forma, -ae (f.)	(n.) form, contour, figure, shape, appearance, looks
tectum, -i (n.)	(n.) building, shelter, house, dwelling, roof
