natura, -ae (f.)	(n.) nature, natural constitution, property, quality
lego, -ere, legi, lectum	(v.) to bring together, gather, choose; to read
mollis, -e	(adj.) yielding, flexible, supple, soft, tender, delicate, gentle, mild, pleasant
vitupero, -are, -avi, -atum	(v.) to find fault with, blame, reproach, disparage, scold, censure
exspecto or expecto, -are, -avi, -atum	(v.) to look out for, await, wait for
culina, -ae (f.)	(n.) kitchen
iatralipta or -es, -ae (m.)	(n.) doctor, especially one who uses massage and ointments
dubius, -a, -um	(adj.) moving two ways, doubting, doubtful, dubious, uncertain
nomen, -inis (n.)	(n.) a means of knowing, name
dextra (dextera), -ae (f.)	(n.) right hand
morior, -iri, mortuus sum	(v.) to die, expire
spatium, -i (n.)	(n.) space, room, extent, distance, interval
tabula, -ae (f.)	(n.) writing tablet (wax covered board); (pl.) records; document, deed, will
turba, -ae (f.)	(n.) turmoil, riot, disturbance; crowd, multitude
deleo, -ere, -evi, -etum	(v.) to erase, remove, delete; abolish
deinde or dein	(adv.) then, next, thereafter, afterward
nubes, -is (f.)	(n.) cloud, mist, vapor
sonus, -i (m.)	(n.) noise, sound
nox, noctis (f.)	(n.) night
mensa, -ae (f.)	(n.) table; course, meal; counter (of a market stall or bank)
prior, prius	(adj.) former, previous, prior, first
pereo, -ire, -ii (or -ivi), -itum	(v.) to pass away, come to nothing, vanish, disappear, perish, die
ira, -ae (f.)	(n.) anger, wrath, rage, ire, passion, indignation
festino, -are, -avi, -atum	(v.) to hurry
unde	(adv.) from which place, from where, whence
studeo, -ere, -ui	(v.) (with dat.) to desire, be eager for; apply oneself to; strive after; to study
bellum, -i (n.)	(n.) war
nuntius, -i (m.)	(n.) announcement, message; messenger
coepio, -ere, coepi, coeptum	(v.) to begin, commence
laetus, -a, -um	(adj.) happy, joyful, cheerful, glad, delighted, full of joy
ceno, -are, -avi, -atum	(v.) to dine (on), eat, have dinner with
excito, -are, -avi, -atum	(v.) to call out, summon forth, bring out, wake, rouse
explico, -are, -avi, atum (or -ui, -itum)	(v.) to unfold, extend; to set forth, explain
sumo, -ere, sumpsi, sumptum	(v.) to take, take up, take in hand, lay hold of, assume
apud	(prep.) (with acc.) with, among, at, by, near, at the house of
mirabilis, -e	(adj.) strange, amazing, marvelous; singular
scio, -ire, -ivi, -itum	(v.) to know, understand, perceive, have knowledge of, be skilled in
poculum, -i (n.)	(n.) cup, bowl, drinking vessel; drink; (pl.) social drinking
iacto, -are, -avi, -atum	(v.) to throw, cast, hurl
mora, -ae (f.)	(n.) delay, procrastination
fluctus, -us (m.)	(n.) wave, flow, tide, surge
adsum (assum), adesse, adfui	(v.) to be at, be present, be at hand
o	(interj.) O! oh!
procul	(adv.) in the distance, at a distance, away, apart, far, far off
sequor, -i, secutus sum	(v.) to follow, come after, follow after, accompany
aetas, -atis (f.)	(n.) life of a man, age, lifetime, years
horrendus, -a, -um	(adj.) dreadful, terrible, fearful, horrible
eo	(adv.) there, in that place; to there; therefore, for that reason
iniuria, -ae (f.)	(n.) injustice, wrong, outrage, injury, insult
liber, -era, -erum	(adj.) free, unrestricted, unrestrained, unimpeded, unshackled
