hospes, -itis (m.)	(n.) guest, visitor; stranger; host
forte	(adv.) by chance, by accident
sinus, -us (m.)	(n.) bent surface, curve, fold, hollow, coil; lap; bay, gulf
haereo, -ere, haesi, haesum	(v.) to stick, adhere, cling to; to hesitate; to be in difficulties
tuus, -a, -um	(adj.) your, yours, of you (singular)
adhuc	(adv.) until now, heretofore, as yet, still, to this point, to this place
desum, -esse, -fui	(v.) to be away, be absent, fail, be wanting, be missing
recipio, -ere, -cepi, -ceptum	(v.) to take back, bring back, regain, recover; receive, accept
doceo, -ere, -ui, -ctum	(v.) to teach, instruct, inform, show, prove, convince, tell
nisi	(conj.) if not, unless, except
longus, -a, -um	(adj.) long, extended
semper	(adv.) ever, always, at all times, continually, perpetually, forever
leo, leonis (m.)	(n.) lion
amo, -are, -avi, -atum	(v.) to love
clarus, -a, -um	(adj.) clear, bright, shining, brilliant
ludus, -i (m.)	(n.) game, play, sport, pastime, entertainment, fun; school, elementary school
quin	(conj.) why not; but, indeed, really, in fact
Iuppiter (Iupi-), Iovis (m.)	(proper n.) Jupiter, Jove, king of the gods, son of Saturn, brother and husband of Juno, god of the sky
flumen, -inis (n.)	(n.) a flowing, flood, stream, running water, river
laetitia, -ae (f.)	(n.) joy, happiness; source of joy, delight
amor, -oris (m.)	(n.) love, affection, strong friendly feeling
classis, -is (f.)	(n.) class, great division; (fig.) army, a fleet
extra	(adv.) outside of, beyond, without, beside; except
amicus, -i (m.)	(n.) loved one, loving one, friend
victoria, -ae (f.)	(n.) victory
flamma, -ae (f.)	(n.) blazing fire, blaze, flame
mors, -tis (f.)	(n.) death
Claudia, -ae (f.)	(proper n.) a Roman female name (nomen – name of a Roman gens)
tam	(adv.) in such a degree, as much, so, so much
catena, -ae (f.)	(n.) chain, shackle
iubeo, -ere, iussi, iussum	(v.) to order, give an order, bid, tell, command
nam or namque	(conj.) for, you see
Harpocras, -tis (m.)	(proper n.) a Greek male name
coma, -ae (f.)	(n.) hair of the head, hair
incertus, -a, -um	(adj.) not fixed, unsettled, undetermined; hesitating, undecided, doubtful, at a loss
vulnus (volnus), -eris (n.)	(n.) wound
praesto, -are, -iti, -atum (or -itum)	(v.) to stand out, be superior, be better; exhibit, fulfill
discedo, -ere, -cessi, -cessum	(v.) to go off, depart, withdraw; scatter; abandon
emo, -ere, emi, emptum	(v.) to buy; gain, acquire
priusquam or prius quam	(adv.) before that, before; sooner, rather
ignis, -is (m.)	(n.) fire
specto, -are, -avi, -atum	(v.) to look on, look at, behold, gaze at, watch, observe, inspect, attend
subsisto, -ere, -stiti	(v.) to take a stand, take position, stand still, remain standing, stop, halt
suspendo, -ere, -di, suspensum	(v.) to hang up, hang, suspend
difficilis, -e	(adj.) difficult, troublesome; hard to please or deal with
pompa, -ae (f.)	(n.) procession; retinue; pomp
intentus, -a, -um	(adj.) eager, intent, attentive; strict; intense, strenuous; serious
futurus, -a, -um	(adj.) going to be, yet to be, to come, future
maneo, -ere, -nsi, -nsum	(v.) to stay, remain, abide, wait for, expect
parens, -entis (m. or f.)	(n.) procreator, father, mother, parent
