severus, -a, -um	(adj.) stern, strict, severe; weighty, serious; plain
lingua, -ae (f.)	(n.) tongue; speech, language
arcus, -us (m.)	(n.) bow, arc, arch; rainbow; anything arched or curved
valeo, -ere, -ui, -itum	(v.) to be strong, be vigorous, have strength, be able
caveo, -ere, cavi, cautum	(v.) to beware, avoid, be on guard; guarantee; take care of, decree
bene	(adv.) well
brevis, -e	(adj.) short, small, shallow, brief
appropinquo (adp-), -are, -avi, -atum	(v.) (with dat. or ad + acc.) to approach; come near to, draw near (space/time)
infans, -ntis	(adj.) speechless; (as a noun) little child, infant, baby
Turnus, -i (m.)	(proper n.) Turnus, prince of the Rutuli and enemy of Aeneas
antea	(adv.) before, before this; formerly, previously, in the past
denique	(adv.) finally, in the end; and then
quam	(adv.) in what manner, how greatly, how, how much; as, than; after than, earlier than
tumultus, -i (m.)	(n.) (a) commotion, confusion, uproar; rebellion, uprising, disturbance
erro, -are, -avi, -atum	(v.) to wander, stray, roam; be in error, err, mistake, go wrong, go astray
sto, -are, steti, statum	(v.) to stand, stand still, remain standing, be upright, be erect
maxime or maxume	(adv.) in the highest degree, especially, exceedingly, very
cura, -ae (f.)	(n.) trouble, care, concern, attention, pains, industry, diligence, exertion
iugum, -i (n.)	(n.) yoke, collar; height, summit, ridge, chain of mountains
exstinguo or extinguo, -ere, -nxi, -nctum	(v.) to put out, quench, extinguish, destroy
atque, ac	(conj.) and; than (correl. with alius); as (correl. with idem)
senex, senis (m.)	(n.) old man
desero, -ere, -ui, -tum	(v.) to leave, forsake, abandon, desert, give up
tunc	(adv.) then, at that time, just then, on that occasion
cado, -ere, cecidi, casum	(v.) to fall, fall down, descend, die
Dido, -onis (f.)	(proper n.) Dido, queen of Carthage
diligens, -entis	(adj.) careful; diligent; accurate; industrious
cum	(conj.) when, while, since, although
operio, -ire, -ui, -ertum	(v.) to cover, cover over
pharetra, -ae (f.)	(n.) quiver
vox, vocis (f.)	(n.) voice, sound, tone, utterance, cry, call
prudentia, -ae (f.)	(n.) discretion; good sense, wisdom; prudence; foresight
pro	(prep.) (with abl.) before, in front of, for
umquam	(adv.) at any time, ever
sententia, -ae (f.)	(n.) opinion, feeling, way of thinking; thought, meaning, sentence/period; purpose
totus, -a, -um	(adj.) all, all the, all at once, whole, entire, total
Roma, Romae (f.)	(proper n.) (the city of) Rome
servus, -i (m.)	(n.) enslaved man
contendo, -ere, -tendi, -tentum	(v.) to stretch, draw tight; to draw, bend; to tune; to stretch out for, rush to, travel; be in a hurry; direct
oppidum, -i (n.)	(n.) town
mos, moris (m.)	(n.) will, way, habit, manner, fashion, custom, practice
tamen	(adv.) notwithstanding, nevertheless, for all that, however, yet, still
proelium, -i (n.)	(n.) battle, combat
surgo, -ere, surrexi, surrectum	(v.) to rise, arise, get up, stand up
devoro, -are, -avi, -atum	(v.) to devour, swallow up, overwhelm, destroy; to use up, consume
inferus, -a, -um	(adj.) below, beneath, underneath, lower, of the lower world
pulcher, -chra, -chrum	(adj.) beautiful, fair, handsome
ecce	(interj.) lo! see! behold! there! look!
quoque	(conj.) also, too
stola, -ae (f.)	(n.) a long upper garment worn by Roman women, dress
