commoveo, -ere, -movi, -motum	(v.) to shake, stir up; start, provoke; displace, trouble, upset; jolt awake
nemo, -inis	(pron.) no man, no one, nobody
pugna, -ae (f.)	(n.) fight, fight in close quarters, battle, combat, engagement
soror, -oris (f.)	(n.) sister
epistula, -ae (f.)	(n.) written communication, letter
delecto, -are, -avi, -atum	(v.) to delight, please, amuse, fascinate; charm, lure, entice; enjoy
rumpo, -ere, rupi, ruptum	(v.) to break, burst, tear, rupture, burst in pieces, force open
modo	(adv.) only, merely, solely, simply, but, no more than
vester, -tra, -trum	(adj.) your, yours, of you (pl.)
avunculus, -i (m.)	(n.) maternal uncle, mother’s brother
fluo, -ere, fluxi, fluxum	(v.) to flow; proceed from
appareo (adp-), -ere, -ui, -itum	(v.) to appear, come in sight, make an appearance
Livia, -ae (f.)	(proper n.) a Roman female name (nomen – name of a Roman gens)
omnis, -e	(adj.) all, every
quaero, -ere, quaesivi (or -ii), quaesitum	(v.) to seek, look for
timidus, -a, -um	(adj.) timid, cowardly, fearful, apprehensive
quo	(adv.) to where, in where, where; for which reason, to what end, why, in order that, so that
Gaius (or Caius), -i (m.)	(proper n.) Gaius, a Roman male name (praenomen) abbreviated C.
multitudo, -inis (f.)	(n.) multitude, great number; crowd; rabble, mob
architectus, -i (m.)	(n.) architect; inventor, designer
pugno, -are, -avi, -atum	(v.) to fight; to dispute
medicus, -i (m.)	(n.) doctor, surgeon
pecunia, -ae (f.)	(n.) money; property
dives, -itis	(adj.) rich; costly; productive (land); talented
Traianus, -i (m.)	(proper n.) Trajan, a Roman emperor
vitium, -i (n.)	(n.) fault, defect, blemish, imperfection, vice
dum	(conj.) while, a while, now, yet; so long as, provided that, if only; until, until that
vos, vestrum/vestri, vobis, vos, vobis	(pron.) you (pl.)
primus, -a, -um	(adj.) the first, first
amicus, -a, -um	(adj.) loving, friendly, kind, favorable
lavo, -are (or -ere), lavi, lautus (or lotus)	(v.) to wash, bathe
vestigium, -i (n.)	(n.) footstep, step, footprint; trace, mark, track, vestige
nubila, -orum (n. pl.)	(n.) clouds, rainclouds
contra	(adj./adv.) in opposition, opposite, face to face; in turn, in return, back, on the other hand, likewise (with acc.)
gratus, -a, -um	(adj.) beloved, dear, acceptable, pleasing, agreeable
prudens, -entis	(adj.) aware, skilled; sensible, prudent; experienced
ex, e	(prep.) (with abl.) out of, from
arvum, -i (n.)	(n.) field, cultivated land, plowed land
alienus, -a, -um	(adj.) of another, belonging to another, not one’s own, foreign, alien, strange
aequo, -are, -avi, -atum	(v.) to make equal, equalize
saepe	(adv.) often, oft, oftentimes, many times, frequently
historia, -ae (f.)	(n.) narrative of past events, history
iaceo, -ere, -cui, -citum	(v.) to lie down, be prostrate, lie at rest
malo, malle, malui	(v.) to prefer, incline toward, wish rather
laedo, -ere, -si, -sum	(v.) to hurt, wound, injure, damage
similis, -e	(adj.) like, resembling, similar
oculus, -i (m.)	(n.) eye
athleta, -ae (m.)	(n.) wrestler, boxer, athlete, one who is in public games; expert
bonus, -a, -um	(adj.) good
imperator, -oris (m.)	(n.) commander, leader, chief, director, ruler, general, emperor
